activities,amountRaised,campaignTitle,currencyType,goal,mediaCount,numberContributors,percent_complete,period,timeLeft,updates
6,240,"Major has a Birth Deformity, Help with his Medical",U.S. Dollar,of $225 goal,(1),6,107%,"Years running
					,
				",5,0
8,155,Help Eastside Flint Cats,U.S. Dollar,of $700 goal,(1),7,22%,"days left
					,
				",0,0
4,125,Union: #626,U.S. Dollar,of $125 goal,(1),4,100%,"days left
					,
				",0,0
13,390,Beryl the Feral needs life saving surgery,Australian Dollar,of $9k goal,(1),13,4%,"days left
					,
				",0,3
74,"2,170",Help Kate!,U.S. Dollar,of $10k goal,(1),66,22%,"Years running
					,
				",5,4
4,270,Oscar's Only Hope to Walk Again-Your $10 Can Help,U.S. Dollar,of $5.5k goal,(13),4,5%,"Years running
					,
				",5,5
20,760,CRITICAL HELP NEEDED - OHIO WILD HORSES RESCUE!!,U.S. Dollar,of $2k goal,(1),15,38%,"Years running
					,
				",5,0
48,742,Wonky Dog and Cat Club Special Appeal,Pound Sterling,of £3k goal,(7),47,25%,"days left
					,
				",0,11
30,785,Sparkles 4th of July Rescue!,U.S. Dollar,of $700 goal,(1),30,112%,"days left
					,
				",0,0
9,350,141997 BRUCE Male Pit X,U.S. Dollar,of $350 goal,(1),9,100%,"days left
					,
				",0,0
4,130,142075 DOMINIQUE Female Pit,U.S. Dollar,of $350 goal,(1),4,37%,"days left
					,
				",0,0
13,295,The Hike 4 Homes-- CorgiAid,U.S. Dollar,of $1k goal,(1),10,30%,"days left
					,
				",0,0
15,425,141747 WINKIE Female Pit Mix- sweetie girl,U.S. Dollar,of $350 goal,(1),15,121%,"days left
					,
				",0,0
7,180,Support The Protection of The Asian Elephants,U.S. Dollar,of $3k goal,(1),7,6%,"days left
					,
				",0,0
11,350,142151 BUBBA Male Pit Pup around 4-5 mos old,U.S. Dollar,of $350 goal,(1),11,100%,"days left
					,
				",0,0
6,150,Save TJ!: Union SC,U.S. Dollar,of $150 goal,(1),6,100%,"days left
					,
				",0,0
56,"1,785",Help Annie with fencing supplies for the Mustangs,U.S. Dollar,of $5k goal,(5),37,36%,"Years running
					,
				",5,4
11,"1,225",Urgent funds needed so Choco can have surgery!,U.S. Dollar,of $1.3k goal,(4),9,94%,"days left
					,
				",0,3
3,200,Union: Mrs,U.S. Dollar,of $200 goal,(1),3,100%,"days left
					,
				",0,0
13,950,Be a bro and help fix Bro's knee!,U.S. Dollar,of $1.1k goal,(2),13,86%,"Years running
					,
				",5,1
37,876,Help save Charlie,U.S. Dollar,of $2k goal,(1),34,44%,"Years running
					,
				",5,0
74,"2,475",HOUSE FIRE-Krystal & her family need our support!,U.S. Dollar,of $10k goal,(1),67,25%,"days left
					,
				",0,2
7,320,URGENT NEED; FALLING BEHIND! NO LONGER CAN KEEP UP,U.S. Dollar,of $700 goal,(1),7,46%,"days left
					,
				",0,0
6,220,142254 ABEL Male Boxer Mix,U.S. Dollar,of $350 goal,(1),6,63%,"days left
					,
				",0,0
16,375,142274 DEUCE Male Sharpei Mix,U.S. Dollar,of $350 goal,(1),16,107%,"days left
					,
				",0,0
14,700,Help me support Daphne in walking again.,U.S. Dollar,of $6.5k goal,(7),13,11%,"Years running
					,
				",5,8
4,215,142225 DIXIE Female Weim Mix,U.S. Dollar,of $350 goal,(1),4,61%,"days left
					,
				",0,0
23,"1,855",Jimmer's Surgery Fund,U.S. Dollar,of $7.5k goal,(5),23,25%,"Years running
					,
				",5,9
50,"1,500",Help us fix both of Brandi's knees so she can walk,U.S. Dollar,of $1.5k goal,(2),50,100%,"Years running
					,
				",5,0
23,790,~* Help us with Summer Funding! *~,U.S. Dollar,of $2k goal,(1),22,40%,"Years running
					,
				",5,0
2,120,FR ALLIE,U.S. Dollar,of $60 goal,(1),2,200%,"days left
					,
				",0,1
20,269,Little Thunder has Rescue !,U.S. Dollar,of $249 goal,(1),20,108%,"Years running
					,
				",5,0
8,210,142199 CARLISLE Male Pitbull- in bad shape,U.S. Dollar,of $350 goal,(1),8,60%,"days left
					,
				",0,0
16,750,141884-85 BACALL White Fem Pit Mix BOGEY Male,U.S. Dollar,of $700 goal,(1),15,107%,"days left
					,
				",0,0
11,350,142118 DUKE Male Retriever Mix- gorgeous dog,U.S. Dollar,of $350 goal,(1),11,100%,"days left
					,
				",0,0
32,942,Lily needs our help,U.S. Dollar,of $2k goal,(2),31,47%,"days left
					,
				",0,0
16,348,Paws for a Dollar with Last Day Dog Rescue,U.S. Dollar,of $10k goal,(1),16,3%,"days left
					,
				",0,1
12,320,142003 REBEL Male Pit mix,U.S. Dollar,of $350 goal,(1),12,91%,"days left
					,
				",0,0
9,350,Help 3 Designer Dogs Rescued from a Breeder,U.S. Dollar,of $330 goal,(1),7,106%,"Years running
					,
				",5,1
11,245,"CHASE HEAVEN'S RAINBOWS, SWEET BOY...",U.S. Dollar,of $245 goal,(4),11,100%,"days left
					,
				",0,3
9,425,141776 SPRING Female Pit- looks young,U.S. Dollar,of $350 goal,(1),9,121%,"days left
					,
				",0,0
46,453,Lucky and Jasper Memorial Meerkat Enclosure,Pound Sterling,of £3k goal,(1),45,15%,"Years running
					,
				",5,2
41,"1,775",Help Reeves get home!,U.S. Dollar,of $3.5k goal,(3),37,51%,"Years running
					,
				",5,6
3,350,"142073 DOGWOOD Male Lab Mix, young",U.S. Dollar,of $350 goal,(1),3,100%,"days left
					,
				",0,0
27,"1,030",Please help me continue to help them!,U.S. Dollar,of $1k goal,(11),23,103%,"days left
					,
				",0,10
3,150,Union: Lilly,U.S. Dollar,of $150 goal,(1),3,100%,"days left
					,
				",0,0
5,120,Save SNEEZY!!,U.S. Dollar,of $125 goal,(1),5,96%,"days left
					,
				",0,0
68,"2,340",Dawson needs Corgi Nation,U.S. Dollar,of $7k goal,(1),64,33%,"Years running
					,
				",5,2
16,595,For the LOVE of Lollipop,U.S. Dollar,of $5k goal,(9),14,12%,"days left
					,
				",0,13
15,350,142195 JUBILEE Female ABD mix (listed as pit),U.S. Dollar,of $350 goal,(1),15,100%,"days left
					,
				",0,0
7,250,142065 SHAMO Male Pit- very friendly,U.S. Dollar,of $350 goal,(1),7,71%,"days left
					,
				",0,0
6,350,"142180 BRANSON Male Shepherd/Lab Mix- shy, sweet",U.S. Dollar,of $350 goal,(1),5,100%,"days left
					,
				",0,0
5,600,142357 ZORO male black lab,U.S. Dollar,of $350 goal,(1),5,171%,"days left
					,
				",0,0
37,422,Please help Bali - she needs an operation!!,Pound Sterling,of £1k goal,(2),32,42%,"Years running
					,
				",5,3
2,150,142098 MEDINA Female Lab Mix Pup-3 mos old,U.S. Dollar,of $350 goal,(1),2,43%,"days left
					,
				",0,0
7,150,Union: Girliegirl,U.S. Dollar,of $150 goal,(1),7,100%,"days left
					,
				",0,0
4,115,RESCUED!!!!!!,U.S. Dollar,of $115 goal,(1),4,100%,"days left
					,
				",0,0
2,150,Help Support Our Rescued Adoptable Dogs!,U.S. Dollar,of $6k goal,(1),2,3%,"Years running
					,
				",5,0
9,260,Oreo has rescue !,U.S. Dollar,of $240 goal,(1),9,108%,"Years running
					,
				",5,0
4,150,Union: Smiley Girl,U.S. Dollar,of $150 goal,(1),4,100%,"days left
					,
				",0,0
8,600,Please help NEHS with boarding for these 6!,U.S. Dollar,of $800 goal,(1),8,75%,"Years running
					,
				",5,0
8,380,Help PAWS Pay for completed SPAY Neuter Surgeries!,U.S. Dollar,of $1.2k goal,(3),8,32%,"Years running
					,
				",5,2
7,205,142194 VALOR Male Pit,U.S. Dollar,of $350 goal,(1),7,59%,"days left
					,
				",0,0
9,400,142371 MALLORY Fem Pit Missing an eye - needs vet,U.S. Dollar,of $400 goal,(1),9,100%,"days left
					,
				",0,0
14,215,142351 LYDIA Fem GSD - Wounds around muzzle-sweet,U.S. Dollar,of $350 goal,(1),13,61%,"days left
					,
				",0,0
4,150,SAVE Cutie!!,U.S. Dollar,of $150 goal,(1),4,100%,"days left
					,
				",0,0
20,350,142270 BARKLEY Male Boxer,U.S. Dollar,of $350 goal,(1),20,100%,"days left
					,
				",0,0
13,485,Lulubelle Needs 2 Tumors Removed,U.S. Dollar,of $475 goal,(9),13,102%,"days left
					,
				",0,1
6,200,Help bring Zeus home,U.S. Dollar,of $450 goal,(3),1,44%,"Years running
					,
				",5,1
1,125,Union: #627,U.S. Dollar,of $125 goal,(1),1,100%,"days left
					,
				",0,0
18,415,Itchy wants to catch his ride!,U.S. Dollar,of $400 goal,(1),18,104%,"Years running
					,
				",5,0
11,350,142135 TRUCKER Male Hound Mix,U.S. Dollar,of $350 goal,(1),11,100%,"days left
					,
				",0,0
22,242,"142370 HEALER Male Pit-Owner Release, attacked :(",U.S. Dollar,of $400 goal,(1),22,61%,"days left
					,
				",0,0
5,215,142136 PATTICAKE Female Pit- sweet girl,U.S. Dollar,of $350 goal,(1),5,61%,"days left
					,
				",0,0
12,425,142006 ISABELLA - Female Pit,U.S. Dollar,of $350 goal,(0),11,121%,"days left
					,
				",0,0
6,136,Help move my kitty to Finland,Euro,of €500 goal,(2),6,27%,"days left
					,
				",0,2
62,"2,326","Abandoned Parvo pup, dumpster baby and two Mange P",U.S. Dollar,of $2.4k goal,(1),60,97%,"Years running
					,
				",5,0
7,235,Help me take care of this beautiful boy!,U.S. Dollar,of $400 goal,(5),7,59%,"days left
					,
				",0,4
2,150,Please Help with Surge's Medical Expenses,U.S. Dollar,of $225 goal,(1),2,67%,"Years running
					,
				",5,0
10,270,"Help ""Zeus"" the Puppy with Vet Expenses!",U.S. Dollar,of $750 goal,(1),10,36%,"days left
					,
				",0,0
4,115,Sable's Sanctuary Sponsorship- July,U.S. Dollar,of $100 goal,(1),4,115%,"days left
					,
				",0,0
22,304,Beautiful Reba has Rescue !,U.S. Dollar,of $289 goal,(1),21,105%,"Years running
					,
				",5,0
8,185,142189 FREEMAN Male German Shepherd- looks under 1,U.S. Dollar,of $350 goal,(1),8,53%,"days left
					,
				",0,0
35,970,Help Prevent Litters in Struggling Neighborhoods!,U.S. Dollar,of $2.5k goal,(9),31,39%,"Years running
					,
				",5,3
29,783,Help needed for 15 + rescued Gaston kitty's...,U.S. Dollar,of $1k goal,(5),28,78%,"Years running
					,
				",6,1
11,350,142218 EDITH Female Lab Mix- very sweet,U.S. Dollar,of $350 goal,(1),11,100%,"days left
					,
				",0,0
15,270,Little Belle has Rescue !,U.S. Dollar,of $250 goal,(1),15,108%,"Years running
					,
				",5,0
8,255,Rocco's TPLO fundraiser,U.S. Dollar,of $3.6k goal,(1),8,7%,"Years running
					,
				",5,0
6,"1,270",Help KARES with fencing and shelters!,U.S. Dollar,of $1.8k goal,(3),6,71%,"days left
					,
				",0,5
31,755,Maia the Golden/Bassett needs some special help,U.S. Dollar,of $750 goal,(1),30,101%,"Years running
					,
				",5,0
3,125,Please help us finish our stalls,U.S. Dollar,of $1k goal,(5),3,13%,"Years running
					,
				",5,3
7,120,142324 JAMBOREE Fem Mix- 6 mos old- legs deformed,U.S. Dollar,of $350 goal,(1),7,34%,"days left
					,
				",0,0
15,790,Help Susana's farm & animals.,U.S. Dollar,of $5k goal,(1),14,16%,"Years running
					,
				",6,2
17,350,"142101 UNO Male Pit -young, sweet",U.S. Dollar,of $350 goal,(1),16,100%,"days left
					,
				",0,0
27,785,Critical fundraiser for NEHS!! PLEASE DONATE!,U.S. Dollar,of $5k goal,(1),26,16%,"Years running
					,
				",5,1
14,145,Help us Save Bindy!,U.S. Dollar,of $225 goal,(1),14,64%,"Years running
					,
				",5,0
3,125,Union. #601,U.S. Dollar,of $125 goal,(1),3,100%,"days left
					,
				",0,0
3,350,142360 MADDIE Female lab mix,U.S. Dollar,of $350 goal,(1),3,100%,"days left
					,
				",0,0
3,350,Help With Molly's Medical Expenses,U.S. Dollar,of $225 goal,(1),3,156%,"Years running
					,
				",5,0
3,125,Union: #578,U.S. Dollar,of $125 goal,(1),3,100%,"days left
					,
				",0,0
12,500,STARR NEEDS HW TREATMENT!!!,U.S. Dollar,of $500 goal,(1),12,100%,"days left
					,
				",0,0
3,100,142237 BONNIE BLUE Female Pit Mix,U.S. Dollar,of $350 goal,(1),3,29%,"days left
					,
				",0,0
7,350,142215 SPARKLE Female Lab/Hound Mix pup 4 mos old-,U.S. Dollar,of $350 goal,(1),5,100%,"days left
					,
				",0,0
5,290,142295 BLANCH Female Mix,U.S. Dollar,of $350 goal,(1),5,83%,"days left
					,
				",0,0
4,110,142388 TOCK Male Bulldog,U.S. Dollar,of $350 goal,(1),4,31%,"days left
					,
				",0,0
44,"1,435",Urgent - Help Save 8 Sick Puppies - 1 Hospitalized,U.S. Dollar,of $1.5k goal,(1),42,96%,"days left
					,
				",0,2
1,100,Help Percy get Vet care!!,U.S. Dollar,of $850 goal,(4),1,12%,"Years running
					,
				",5,1
6,200,Dean the diabetic cat has deadly Pancreatitis.,Canadian Dollar,of $3.5k goal,(3),5,6%,"days left
					,
				",0,2
9,285,Help Marine Veteran with PTSD Therapy Dog,U.S. Dollar,of $1k goal,(3),9,28%,"Years running
					,
				",5,1
17,295,142364 SYDNEY Female Pit- true sweetie,U.S. Dollar,of $350 goal,(1),17,84%,"days left
					,
				",0,0
2,500,HELP HEAL GERTIE'S HEART,U.S. Dollar,of $500 goal,(1),2,100%,"days left
					,
				",0,0
12,325,Lilah Hospitalized,U.S. Dollar,of $1k goal,(3),12,33%,"days left
					,
				",0,2
21,720,Save this boy,U.S. Dollar,of $1k goal,(2),21,72%,"Years running
					,
				",5,4
12,115,UNION - C14-014521 SISSY,U.S. Dollar,of $150 goal,(1),11,77%,"days left
					,
				",0,0
79,"1,980",Help Kathryn raise funds for the Company of Dogs!,Pound Sterling,of £2k goal,(4),73,99%,"days left
					,
				",0,12
13,215,Please help Cats in Crisis buy cat food - July,Pound Sterling,of £150 goal,(1),13,143%,"days left
					,
				",0,1
16,350,142067 ACTION ~ Male Pit- very happy waggle butt,U.S. Dollar,of $350 goal,(1),16,100%,"days left
					,
				",0,0
11,350,142080 WILKERSON Male Hound,U.S. Dollar,of $350 goal,(1),10,100%,"days left
					,
				",0,0
4,350,Help with Vance & Laurel's Rescue Effort/Surgery,U.S. Dollar,of $350 goal,(1),4,100%,"Years running
					,
				",5,0
9,385,Please support Gane The Crocodile,Australian Dollar,of $1k goal,(2),6,39%,"days left
					,
				",0,2
141,"5,010",Save Cricket!,U.S. Dollar,of $5k goal,(1),140,100%,"Years running
					,
				",5,0
53,"1,205",My Name is Joy...Will You Help Me Fix My Leg?,U.S. Dollar,of $1.5k goal,(4),51,80%,"days left
					,
				",0,3
4,175,Urgent List Animal ID 14-116 Help Save Becky,U.S. Dollar,of $175 goal,(1),4,100%,"days left
					,
				",0,0
6,175,Urgent List Animal ID 14-1232 Help Save Jack,U.S. Dollar,of $175 goal,(1),6,100%,"Years running
					,
				",5,0
20,770,Coach purse giveaway to support homeless pets!,U.S. Dollar,of $750 goal,(2),20,103%,"days left
					,
				",0,4
4,250,Last Minute Rescue Transport to New England!,U.S. Dollar,of $280 goal,(2),3,89%,"Years running
					,
				",5,2
6,270,Help the abandoned puppies rescued from the field.,U.S. Dollar,of $1k goal,(1),6,27%,"Years running
					,
				",5,1
9,355,Help for Jim so he can help save dogs.,Pound Sterling,of £850 goal,(1),9,42%,"Years running
					,
				",5,0
7,169,HUCK,U.S. Dollar,of $150 goal,(1),7,113%,"days left
					,
				",0,1
11,205,142426 HAPPY Male Lab Pup abt 5 mos old.,U.S. Dollar,of $350 goal,(1),11,59%,"days left
					,
				",0,0
14,475,SHERIIFF Male pit,U.S. Dollar,of $350 goal,(1),14,136%,"days left
					,
				",0,0
52,"2,115",Help RCBTR Bull Terriers in Need!,U.S. Dollar,of $1.8k goal,(2),51,118%,"days left
					,
				",0,1
99,"4,838",Helping Dogs at CCAC to live!,U.S. Dollar,of $10k goal,(1),94,48%,"days left
					,
				",0,0
19,550,Please Help with CARLTON's vet expenses!,U.S. Dollar,of $1.5k goal,(7),17,37%,"Years running
					,
				",5,6
8,160,SAVE MISTY,U.S. Dollar,of $150 goal,(1),8,107%,"days left
					,
				",0,1
19,"1,745",Help Gracie get surgery!,U.S. Dollar,of $900 goal,(1),19,194%,"Years running
					,
				",5,0
1,"1,000",Please help with transport!,U.S. Dollar,of $2.1k goal,(1),1,48%,"Years running
					,
				",5,0
25,410,PLEASE HELP! CCAC Urgent Pup with Injury,U.S. Dollar,of $1k goal,(1),24,41%,"days left
					,
				",0,0
31,935,Help Animal Rescuer Valerie Shand,U.S. Dollar,of $2k goal,(1),26,47%,"Years running
					,
				",5,0
14,425,Precious needs Heartworm Treatment,U.S. Dollar,of $550 goal,(1),13,77%,"days left
					,
				",0,0
64,"3,300",Help Buy Hay for CVHR Horses,U.S. Dollar,of $5k goal,(4),63,66%,"days left
					,
				",0,3
12,300,Saving Smiley from death row,U.S. Dollar,of $300 goal,(1),12,100%,"days left
					,
				",0,3
7,223,142276 LOYAL Female Pit Mix,U.S. Dollar,of $350 goal,(1),7,64%,"days left
					,
				",0,0
6,140,Please Help Me Pay For Mister Pudge Dog's Vet Bill,U.S. Dollar,of $2.6k goal,(5),5,5%,"Years running
					,
				",5,10
8,150,SAVE CHEERIO,U.S. Dollar,of $150 goal,(1),8,100%,"days left
					,
				",0,1
10,290,Get Keller to California!,U.S. Dollar,of $360 goal,(1),9,81%,"Years running
					,
				",5,0
4,160,SAVE CASSIDY,U.S. Dollar,of $150 goal,(1),4,107%,"days left
					,
				",0,1
31,"1,775",Please help Diamond get a chance at life !,U.S. Dollar,of $2.5k goal,(2),29,71%,"days left
					,
				",0,7
6,150,SAVE CHASE,U.S. Dollar,of $150 goal,(1),6,100%,"days left
					,
				",0,1
5,210,MAMA CARMEN NEEDS EMERGENCY SURGERY,U.S. Dollar,of $250 goal,(1),5,84%,"days left
					,
				",0,0
11,150,Justice For Tucker,U.S. Dollar,of $1k goal,(1),11,15%,"days left
					,
				",0,0
5,185,SAVE CHARLIE,U.S. Dollar,of $150 goal,(1),5,123%,"days left
					,
				",0,1
4,150,Harley's medical care,U.S. Dollar,of $500 goal,(2),4,30%,"Years running
					,
				",5,2
2,150,SAVE CHRISSY,U.S. Dollar,of $150 goal,(1),2,100%,"days left
					,
				",0,0
65,"1,555",Help Jude With his Recovery,U.S. Dollar,of $1.5k goal,(1),64,104%,"days left
					,
				",0,0
8,540,RESCUE AND VETTING FEES NEEDED,U.S. Dollar,of $750 goal,(3),6,72%,"days left
					,
				",0,2
3,140,Sick & Injured Puppy Fund,U.S. Dollar,of $1.5k goal,(4),3,9%,"days left
					,
				",0,6
60,"1,537",Simba NEEDS Your Help!!,U.S. Dollar,of $5k goal,(21),58,31%,"Years running
					,
				",5,5
38,440,Hospitalized Help Needed Please to Pay Kennel Fees,Pound Sterling,of £1.4k goal,(9),31,33%,"days left
					,
				",0,14
47,"2,050",Baby Season 2014 Donation Campaign,U.S. Dollar,of $5k goal,(29),46,41%,"days left
					,
				",0,22
12,360,"Lab Pup dumped on a rural road, starving!!",U.S. Dollar,of $350 goal,(1),12,103%,"days left
					,
				",0,0
11,450,Help Get 14 Rescue Dogs from SC to Massachusetts,U.S. Dollar,of $440 goal,(1),9,102%,"days left
					,
				",0,0
5,230,Help Save Pom with Bad Teeth and Heartworm Disease,U.S. Dollar,of $700 goal,(1),5,33%,"days left
					,
				",0,1
2,350,142306 INDEPENDENCE Female Lab/Border Collie Mix,U.S. Dollar,of $350 goal,(1),2,100%,"days left
					,
				",0,0
4,275,142280 STRIPE Female Lab Mix Pup 4 mos old,U.S. Dollar,of $350 goal,(1),4,79%,"days left
					,
				",0,0
3,100,Immediate Help Needed to Help Save 3 LiVes!!,U.S. Dollar,of $1k goal,(1),2,10%,"Years running
					,
				",5,0
26,670,Penelope and Cruise have Rescue !,U.S. Dollar,of $660 goal,(1),26,102%,"Years running
					,
				",5,0
7,160,142202 BATES Male Australian Kelpie,U.S. Dollar,of $350 goal,(1),6,46%,"days left
					,
				",0,0
5,275,142279 STAR Female Lab Mix Pup 4 mos old,U.S. Dollar,of $350 goal,(1),5,79%,"days left
					,
				",0,0
13,315,Our Sweet Chewey Bug needs Help,U.S. Dollar,of $1.5k goal,(13),11,21%,"Years running
					,
				",5,11
19,515,Help Save My Baby Boy (Thor Doucette),U.S. Dollar,of $2.5k goal,(1),18,21%,"Years running
					,
				",5,0
10,123,Jesse's Oral Surgery/TAR Program/Misc. Supplies...,U.S. Dollar,of $500 goal,(1),8,25%,"Years running
					,
				",5,2
7,155,142349 SANFORD Male Husky,U.S. Dollar,of $350 goal,(1),7,44%,"days left
					,
				",0,0
7,160,DOCKER Male mix-one of the sweetest dogs weve had,U.S. Dollar,of $350 goal,(1),7,46%,"days left
					,
				",0,0
9,350,142192 OKALANI Female Mix- sweet and young,U.S. Dollar,of $350 goal,(1),9,100%,"days left
					,
				",0,0
8,300,Help Artemis recover & find a new home!,U.S. Dollar,of $2k goal,(1),7,15%,"Years running
					,
				",5,2
92,"5,465",Etta Needs Emergency Surgery - Has Fractured Spine,U.S. Dollar,of $6.5k goal,(7),90,84%,"Years running
					,
				",5,5
11,325,Mike wants to pack his suitcase !,U.S. Dollar,of $325 goal,(1),11,100%,"Years running
					,
				",5,0
5,103,"8 sick, homeless kittens need help!",U.S. Dollar,of $35k goal,(1),5,0%,"Years running
					,
				",5,0
18,720,Help Berksha with her tumors,U.S. Dollar,of $1.6k goal,(2),15,45%,"days left
					,
				",0,2
12,520,Save Apples the Hen!,U.S. Dollar,of $750 goal,(6),11,69%,"days left
					,
				",0,4
38,"2,815","Help heal Freckles, no more pain!",U.S. Dollar,of $2.8k goal,(6),37,101%,"Years running
					,
				",5,2
11,260,Fernando has Rescue !,U.S. Dollar,of $250 goal,(1),11,104%,"Years running
					,
				",5,0
5,140,142439 SMITH Male Bulldog Mix (listed as a pit),U.S. Dollar,of $350 goal,(1),5,40%,"days left
					,
				",0,0
28,558,Demo's Emergency Vet Fund,U.S. Dollar,of $1.5k goal,(1),27,37%,"days left
					,
				",0,0
18,"1,000",Help rescue dog Gracie get leg surgery!,U.S. Dollar,of $1.6k goal,(7),17,63%,"Years running
					,
				",5,6
41,"2,265",Pineapple's Emergency Medical Fund,U.S. Dollar,of $2k goal,(3),40,113%,"Years running
					,
				",5,2
20,510,*~ HELP WITH QUINCY'S HIP SURGERY! ~*,U.S. Dollar,of $600 goal,(2),20,85%,"Years running
					,
				",5,1
12,115,Help 4 Hero continued .......,Pound Sterling,of £700 goal,(7),11,16%,"Years running
					,
				",5,10
16,800,Please Help Support Our Rescue Dogs!,U.S. Dollar,of $1k goal,(1),15,80%,"Years running
					,
				",5,0
7,325,Banjo wants to catch his ride!,U.S. Dollar,of $325 goal,(1),7,100%,"Years running
					,
				",5,0
7,205,info to come...HERSHEY AND KISSES,U.S. Dollar,of $700 goal,(1),7,29%,"days left
					,
				",0,0
22,"1,000",ABE THE FREEWAY STRAY NEEDS YOUR HELP!!,U.S. Dollar,of $1k goal,(32),21,100%,"days left
					,
				",0,10
38,"1,447",Help Save Sunshine From Parvovirus,U.S. Dollar,of $2k goal,(1),38,72%,"Years running
					,
				",5,0
48,"1,155",Our Senior Rescue needs emergency surgery,U.S. Dollar,of $1.2k goal,(1),48,98%,"Years running
					,
				",5,0
14,350,142398 ASH Male Pit- looks around 5-6 mos old,U.S. Dollar,of $350 goal,(1),14,100%,"days left
					,
				",0,0
2,120,A Dog Named Cody. Dental surgery fundraiser,U.S. Dollar,of $650 goal,(1),2,18%,"Years running
					,
				",5,0
7,150,PRECIOUS,U.S. Dollar,of $150 goal,(1),7,100%,"days left
					,
				",0,1
19,"1,320",Rottie Rescue,U.S. Dollar,of $25k goal,(30),12,5%,"Years running
					,
				",5,11
20,"1,215",URGENT -- NEED FUNDS FOR TRANSPORT!,U.S. Dollar,of $1.2k goal,(1),18,102%,"Years running
					,
				",5,0
53,"4,365",Spring Fund Raiser - Lavender Dreams Donkey Rescue,U.S. Dollar,of $10k goal,(4),53,44%,"Years running
					,
				",5,3
9,142,Help Diamond akaTia's medical expenses.,U.S. Dollar,of $950 goal,(4),9,15%,"days left
					,
				",0,3
3,250,Urgent List ID 14-1111 Gracie Older Shep/Collie X,U.S. Dollar,of $250 goal,(1),3,100%,"Years running
					,
				",5,0
6,300,CC Has Pyometra and Needs Surgery!!,U.S. Dollar,of $300 goal,(1),6,100%,"days left
					,
				",0,0
12,350,142154 TRACE Male Pit- sweet,U.S. Dollar,of $350 goal,(1),12,100%,"days left
					,
				",0,0
3,110,142232 SHASTA Female Aussie,U.S. Dollar,of $350 goal,(1),3,31%,"days left
					,
				",0,0
13,350,142034 COFFEE Male Pit,U.S. Dollar,of $350 goal,(1),13,100%,"days left
					,
				",0,0
6,140,Hugo is once again in need of your help...,U.S. Dollar,of $635 goal,(3),6,22%,"days left
					,
				",0,1
13,315,Help Sasha Live! Needs Blood Transfusions!,U.S. Dollar,of $10k goal,(6),10,3%,"Years running
					,
				",5,5
17,605,Theresa was shot in the face! Please help!!,U.S. Dollar,of $950 goal,(5),17,64%,"days left
					,
				",0,6
14,285,142147 DINAH Female Pit Pup around 4-5 mos old,U.S. Dollar,of $350 goal,(1),14,81%,"days left
					,
				",0,0
16,350,142052 BISHOP ~ Male Retriever Mix- scared fella,U.S. Dollar,of $350 goal,(1),16,100%,"days left
					,
				",0,0
9,255,Sear has Rescue!,U.S. Dollar,of $240 goal,(1),9,106%,"Years running
					,
				",5,0
9,350,141909 JAX Male Pit- Beautiful colour- looks young,U.S. Dollar,of $350 goal,(1),9,100%,"days left
					,
				",0,0
50,"2,005",Help Puppy Kayla with Broken Leg,U.S. Dollar,of $2k goal,(3),50,100%,"days left
					,
				",0,2
22,600,141838 EULA Female Pit - 141839 ELLA Female Pit,U.S. Dollar,of $700 goal,(1),22,86%,"days left
					,
				",0,0
184,"4,035",Renny Needs Your Helping Hand (or Paw),U.S. Dollar,of $4k goal,(5),175,101%,"days left
					,
				",0,3
3,250,141972 UMA Female Lab Mix,U.S. Dollar,of $350 goal,(1),2,71%,"days left
					,
				",0,0
7,210,4 month old Pup with Embedded collar needs HELP!!,U.S. Dollar,of $700 goal,(1),7,30%,"days left
					,
				",0,0
3,115,Emergency Fund for Davey's KitCats,U.S. Dollar,of $1k goal,(2),3,12%,"days left
					,
				",0,1
8,180,"142077 PRINCE CHARMING Male mix skin issues,fleas",U.S. Dollar,of $350 goal,(1),8,51%,"days left
					,
				",0,0
8,250,FANTASIA's Pathway to a Second Chance,U.S. Dollar,of $250 goal,(1),7,100%,"days left
					,
				",0,0
4,140,Help with Jasper's Rescue ID# 14-1022,U.S. Dollar,of $125 goal,(1),4,112%,"days left
					,
				",0,0
20,605,DEEBO NEEDS HELP!,U.S. Dollar,of $800 goal,(1),17,76%,"Years running
					,
				",5,0
6,550,Rose needs sponsorship.  Hw positive,U.S. Dollar,of $550 goal,(1),6,100%,"days left
					,
				",0,0
14,355,Elsa and Olaf Need Vetting,U.S. Dollar,of $350 goal,(1),14,101%,"days left
					,
				",0,0
7,350,142039 RANGER - Male Australian Cattledog Mix,U.S. Dollar,of $350 goal,(0),7,100%,"days left
					,
				",0,0
4,135,142097 FAVOR Female Italian Greyhound Mix,U.S. Dollar,of $350 goal,(1),4,39%,"days left
					,
				",0,0
15,425,141880 LAUREL Female Pit-EXTREMELY SCARED shaking,U.S. Dollar,of $350 goal,(1),14,121%,"days left
					,
				",0,0
8,170,Twizzler (Named for Deformed Tail) needs your help,U.S. Dollar,of $150 goal,(1),6,113%,"days left
					,
				",0,0
10,141,"Loki, the Boxer, Emergency Surgery",U.S. Dollar,of $500 goal,(1),10,28%,"Years running
					,
				",6,0
10,380,Donate for Parvo Please!,U.S. Dollar,of $7.5k goal,(3),10,5%,"Years running
					,
				",5,3
